Country,Year,Gdp Per Capita,Unemployment Rate
United States,2022,,3.641666666666667
United States,2021,61855.5186299157,5.366666666666667
United States,2020,58453.446127536,8.091666666666667
United States,2019,60698.0112990179,3.6833333333333336
United States,2018,59607.3936602496,3.891666666666666
United States,2017,58207.578310388,4.358333333333333
United States,2016,57292.5387829091,4.875
United States,2015,56762.7294515989,5.2749999999999995
United States,2014,55675.3868536862,6.158333333333334
United States,2013,54830.7840664164,7.358333333333333
United States,2012,54213.4595516389,8.075
United States,2011,53394.8618380061,8.933333333333334
United States,2010,52963.4641697124,9.608333333333334
United States,2009,51996.1834952422,9.283333333333333
United States,2008,53854.1606116578,5.8
United States,2007,54299.6172405205,4.616666666666666
United States,2006,53738.0917251561,4.608333333333333
United States,2005,52789.7314187756,5.083333333333333
United States,2004,51485.2074124697,5.541666666666667
United States,2003,50036.2342349321,5.991666666666667
United States,2002,49095.3317986996,5.783333333333334
United States,2001,48726.5816727299,4.741666666666666
United States,2000,48746.0409600767,3.966666666666667
Canada,2022,,5.274999999999998
Canada,2021,43936.3081048252,7.508333333333335
Canada,2020,42258.6910170917,9.725
Canada,2019,45109.2444855151,5.7
Canada,2018,44917.4837282326,5.8500000000000005
Canada,2017,44325.4883367463,6.408333333333332
Canada,2016,43536.9134032467,7.033333333333335
Canada,2015,43596.1355365546,6.95
Canada,2014,43635.0954811371,7.033333333333335
Canada,2013,42846.2841957958,7.174999999999997
Canada,2012,42315.8073891558,7.408333333333332
Canada,2011,42036.9978438542,7.616666666666665
Canada,2010,41155.3236376889,8.141666666666667
Canada,2009,40368.2920365479,8.458333333333336
Canada,2008,42063.6330521731,6.308333333333333
Canada,2007,42097.4351198181,6.158333333333332
Canada,2006,41646.4146368665,6.45
Canada,2005,40989.5268239475,6.749999999999997
Canada,2004,40093.807340436,7.15
Canada,2003,39257.7618963901,7.591666666666668
Canada,2002,38912.2097402286,7.683333333333333
Canada,2001,38185.2196712381,7.225
Canada,2000,37923.4864630225,6.833333333333335
